#meta full request: /calibration/alert/ahdc/time_offsets:21417:default:2025-04-11_12-22-13
#meta variation: default
#meta created: 2025-04-11 12:22:13
#meta run range: 21417 - inf.
#meta author: mpaolone

# Sector Layer Component t0 dt0 extra1 extra2 chi2ndf

#& sector layer component t0 dt0 extra1 extra2 chi2ndf
1 41 56 230.147 18.9672 0.0 0.0 1.58
1 41 57 233.3582 18.8838 0.0 0.0 1.69
1 41 58 230.0877 18.8050 0.0 0.0 1.86
1 41 59 229.1734 19.3058 0.0 0.0 1.56
1 41 60 227.5273 19.0707 0.0 0.0 1.49
1 41 61 227.1342 18.1308 0.0 0.0 1.40
1 41 62 227.1342 0.0000 0.0 0.0 0.00
1 41 63 227.4411 18.6340 0.0 0.0 1.50
1 41 64 226.2463 19.4042 0.0 0.0 1.48
1 41 65 226.1923 18.2996 0.0 0.0 1.67
1 41 66 228.2293 17.5739 0.0 0.0 1.59
1 41 67 229.2362 20.2530 0.0 0.0 1.41
1 41 68 228.2423 18.5469 0.0 0.0 1.44
1 41 69 225.4742 18.6875 0.0 0.0 1.68
1 41 70 227.92 18.4373 0.0 0.0 1.39
1 41 71 227.8593 19.0095 0.0 0.0 1.39
1 41 72 225.6096 17.0177 0.0 0.0 1.61
1 41 73 227.4166 18.2455 0.0 0.0 1.79
1 41 74 223.7223 18.1015 0.0 0.0 1.46
1 41 75 224.2779 18.3298 0.0 0.0 1.45
1 41 76 223.4512 17.2397 0.0 0.0 1.65
1 41 77 224.382 17.4918 0.0 0.0 1.47
1 41 78 224.2681 18.0904 0.0 0.0 1.60
1 41 79 223.9323 17.2874 0.0 0.0 1.85
1 41 80 232.0578 21.8840 0.0 0.0 2.86
1 41 81 224.4568 18.1796 0.0 0.0 1.76
1 41 82 224.0509 17.6330 0.0 0.0 1.75
1 41 83 223.1324 17.8367 0.0 0.0 1.46
1 41 84 224.9002 17.6258 0.0 0.0 1.60
1 41 85 225.5337 17.6744 0.0 0.0 1.59
1 41 86 224.7274 17.5999 0.0 0.0 1.70
1 41 87 226.2605 18.1657 0.0 0.0 1.98
1 42 1 224.7539 19.5929 0.0 0.0 1.61
1 42 2 223.7331 19.3095 0.0 0.0 1.54
1 42 3 223.4296 17.8671 0.0 0.0 1.59
1 42 4 224.5831 19.4011 0.0 0.0 1.34
1 42 5 224.306 19.6753 0.0 0.0 1.34
1 42 6 224.1785 18.9668 0.0 0.0 1.48
1 42 7 224.3292 20.0136 0.0 0.0 1.64
1 42 8 222.0934 18.8698 0.0 0.0 1.30
1 42 9 223.8128 19.8309 0.0 0.0 1.50
1 42 10 222.0678 19.1568 0.0 0.0 1.37
1 42 11 223.0572 17.8116 0.0 0.0 1.58
1 42 12 222.2741 19.3884 0.0 0.0 1.31
1 42 13 224.4157 20.4580 0.0 0.0 1.31
1 42 14 223.4341 19.5649 0.0 0.0 1.50
1 42 15 221.0308 20.1771 0.0 0.0 1.92
1 42 16 222.6217 17.4161 0.0 0.0 1.57
1 42 17 224.9517 19.7430 0.0 0.0 1.60
1 42 18 220.8907 18.7770 0.0 0.0 1.51
1 42 19 223.2436 19.0882 0.0 0.0 1.58
1 42 20 223.0052 18.5993 0.0 0.0 1.57
1 42 21 221.6132 19.3232 0.0 0.0 1.23
1 42 22 221.3161 19.5049 0.0 0.0 1.34
1 42 23 223.1423 19.8064 0.0 0.0 1.47
1 42 24 222.0459 19.2774 0.0 0.0 1.55
1 42 25 225.5418 20.3810 0.0 0.0 1.47
1 42 26 223.2217 20.3680 0.0 0.0 1.62
1 42 27 224.6651 20.4905 0.0 0.0 1.44
1 42 28 223.8204 19.8405 0.0 0.0 1.49
1 42 29 222.6723 18.9359 0.0 0.0 1.50
1 42 30 222.3992 17.8666 0.0 0.0 1.78
1 42 31 222.3681 18.7316 0.0 0.0 1.45
1 42 32 222.8618 18.9519 0.0 0.0 1.36
1 42 33 223.3095 18.8984 0.0 0.0 1.77
1 42 34 223.769 19.6361 0.0 0.0 1.57
1 42 35 233.5418 24.8884 0.0 0.0 4.17
1 42 36 230.8903 21.0253 0.0 0.0 1.43
1 42 37 228.8526 21.1950 0.0 0.0 1.33
1 42 38 229.9594 20.8298 0.0 0.0 1.67
1 42 39 228.3039 19.9830 0.0 0.0 1.42
1 42 40 225.0377 18.0873 0.0 0.0 1.76
1 42 41 225.6223 19.6461 0.0 0.0 1.51
1 42 42 225.4792 20.0568 0.0 0.0 1.46
1 42 43 226.6808 20.1602 0.0 0.0 1.58
1 42 44 225.2681 19.8534 0.0 0.0 1.38
1 42 45 225.4993 19.8778 0.0 0.0 1.33
1 42 46 224.7508 19.3205 0.0 0.0 1.49
1 42 47 225.237 19.6139 0.0 0.0 1.49
1 42 48 222.7212 19.8629 0.0 0.0 1.68
1 42 49 223.8987 19.5471 0.0 0.0 1.46
1 42 50 222.6431 19.3516 0.0 0.0 1.49
1 42 51 223.2242 22.3299 0.0 0.0 1.58
1 42 52 222.5028 19.0962 0.0 0.0 1.50
